content,extracted_tags,place
"11월에 알고 가면 좋은 밀양의 단풍 여행지🍁재작년 11월에 다녀온 경남 밀양은가을을 여행하기 정말 좋은 도시였어요1박 2일로 돌고오면 좋을 밀양의가을 여행지 지금부터 소개드려볼게요!🍁 금시당 (1~2)📍 경남 밀양시 활성동 581🕰 10:00~17:00🪧 460년의 세월을 가진 은행나무가 심어진 정원🌳 위양지 (3)📍 경남 밀양시 부북면 위양리 672🪧 밀양팔경 중 하나로 아침에 물안개가 깔려있기도 해요🌲 예림서원 (4~5)📍 경남 밀양시 부북면 예림서원로 128🪧 유형문화재 79호이자 밀양의 절경을 감상할 수 있는 곳🪨 용평터널 (6~7)📍 경남 밀양시 용평로 294🪧 터널 위를 가득 매운 나무터널을 지날 수 있는 곳🍂 영남루 (8)📍 경남 밀양시 중앙로 324🪧 밀양의 시내가 한 눈에 보이는 곳으로, 한반도의 3대 누각 중 하나🚉 밀양역 (9~10)📍 경남 밀양시 중앙로 62🪧 한반도에서 가장 진한 가을을 품은 기차역-An autumn city, Miryang in November 🍁Miryang, South Gyeongsang Province, which I visited in November 2 years ago, was a great city to travel in autumn.I'll introduce you to Miryang's autumn destinations that are good to hang around for 1 night and 2 days!🍁 Geumsidang (1-2)📍 581 Active-dong, Miryang-si, Gyeongsangnam-do🕰 10:00~17:00🪧 a 460-year-old ginkgo-tree🌳 Wiyangji (3)📍 672 Wiyang-ri, Bubuk-myeon, Miryang-si, Gyeongsangnam-do🪧 It's one of Miryang Eight Iconic Views, and there's water fog in the morning.🌲 Yerim Seowon (4-5)📍 128 Yerim Seowon-ro, Bubuk-myeon, Miryang-si, Gyeongsangnam-do🪨 Yongpyong Tunnel (6-7)📍 294, Yongpyeong-ro, Miryang-si, Gyeongsangnam-do🪧 A place where you can pass through a tunnel full with trees.🍂 Yeongnamnu (8)📍 324 Jungang-ro, Miryang-si, Gyeongsangnam-do🪧 The whole city can be seen on this spot, one of the three largest pavilions on the Korean Peninsula.🚉 Miryang Station (9-10)📍 62, Jungang-ro, Miryang-si, Gyeongsangnam-do🪧 the deepest autumn train station on the Korean Peninsula",[],밀양시
"경남에서 가을을 즐기기 좋은 진주 여행 스팟 공개 🍂경상남도 1등은 진주! 인데 진짜 갈 곳들이 너무 많아요 !이번주부터 가기 좋으니 저장하고 찾아가보세요 🙏🏻 ⠀ ⠀⠀ ⚠️11월에 가기 좋은 진주 여행 스팟⚠️📍메종비 (1,2)〰️진주시 판문로78-11🕰(매일)10:30AM-10PM▫️진주에서 전망좋고, 넓고 예쁜 화이트카페▫️산에 둘러쌓여있어서 정말 예쁘고 아늑함📍경상남도 수목원 (3,4)〰️경남 진주시 이반성면 수목원로386🕰(매일) 9AM-5PM / 성인 1,500원 / 어린이 5,00원▫️정문에서 오른쪽으로 구경하는 것이 예쁨▫️산림박물관 근처 메타세콰이어길이 사람 없음⠀ ⠀⠀ 📍진주성 (5,6)〰️진주시 본성동🕰(매일)5AM-11PM / 입장료 2,000원▫️진주성과 함께 곳곳에 사진 찍을 스팟이 다양함📍망진산봉수대 (7,8)〰️진주시 봉수대길 116▫️진주시내와 남강이 한 눈에 보이는 곳▫️올라가는 길이 단풍이 정말 예쁨⠀ ⠀⠀ 📍진양호공원 주차장 (9,10)〰️진주시 판문동 437-8▫️근처 동물원,어린이공원도 함께 구경하기 좋음▫️주차장 밑으로 내려가면 있는 잔디밭에서 노을구경하기 좋음⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ #찍길동_진주 #진주여행 #진주가볼만한곳","['찍길동_진주', '진주여행', '진주가볼만한곳']",진주시
[진주 12월이 좋은 이유 16곳 대공개💙]겨울에 하기좋은 꽁냥꽁냥 데이트코스 총정리!나랑 로맨틱겨울 보내자💕 @@올겨울 다해보자 -#진주가볼만한곳 #진주데이트 #진주데이트추천 #진주핫플 #진주맛집 #진주카페 #진주여행 #경남여행 #경남여행코스,"['진주가볼만한곳', '진주데이트', '진주데이트추천', '진주핫플', '진주맛집', '진주카페', '진주여행', '경남여행', '경남여행코스']",
"⛰⛰⛰2023.11.21 화왕.비슬산🥾✅ 매년 봄, 가을 두번씩은 꼭 찾는 곳. 화왕산 일몰산행을 다녀왔다👋 사실 사진으로만 보면 일출인지 일몰인지 구분이 힘들정도로 너무나 닮은 두 시간대이지만, 마음으로 느껴지는 감정선은 완전 정반대인 시간대이기도 하다💬일출 후 밝아지며 활기찬 아침을 바라보며 하산하는 기분은 느낌표‼️라면, 서서히 어두워지며 고요해지는 밤을 바라보며 하산은 마침표 같다고나 할까😌 이 날은 마치 가을을 이제는 떠나보내는 마침표와 같은 산행이었다 ”adiós 가을 화왕“ 내년에 또봐🌈✅ 한번쯤은 가봐야지 가봐야지 미루다 드디어 가본 비슬산! 최단코스를 검색해보니 1.4km 아무리 업힐이라도 뭐 금방 끝나겠지? 하고 출발! 지금쯤 끝나야 하는데? 끝나야 하는데?해도 절대 끝나지 않는 Uphilllllllllllllll... 군것질 안하는 내가 에너지바를 먹었다고 한다...🍫아마도 체감상 고도가 잘못 측정되었던지, 거리가 잘못 측정되었던지 둘중 하나인거 같다고 100번 말하면서 오른곳! 그래도 정상 조망은 360도 뻥 뚫려서 기분이 좋았다. 아무리 산을 타고 왔었더라도 최근들어 가장 힘들었던 비슬산..나에게는 멘탈 수련하기 좋은 산이었다. 넌 비슬이.. 난 비실이.. ㅈㅅ... 아직도 정신이 혼미😵‍💫✅ 다음 피드는 내사랑 영알로 돌아올게요! 모두들 월요팅🤟.....#화왕산 #비슬산 #가을산행 #등산일기","['화왕산', '비슬산', '가을산행', '등산일기']",화왕산
_ 낮게 드리워진 돌담 사이로 보이는 800살 천연기념물 은행나무💛📍 #함양운곡리은행나무 주소 : 경남 함양군 서하면 운곡리 779크기가 워낙 커서 마을 저 멀리서도 눈에 띈다. 사람이 서있어야 그 크기가 가늠이 될 정도로 압도적인 비쥬얼. 개미샷을 좋아하는 나에게 찰떡인 곳. 🐜💛 ...#함양은행나무 #함양 #은행나무#천연기념물은행나무 #천연기념물406호#운곡리 #함양가볼만한곳 #경남 #함양여행 #경남여행#경이로운단풍놀이#경이로운닥달투어...,"['함양운곡리은행나무', '함양은행나무', '함양', '은행나무', '천연기념물은행나무', '천연기념물406호', '운곡리', '함양가볼만한곳', '경남', '함양여행', '경남여행', '경이로운단풍놀이', '경이로운닥달투어...']",함양 운곡리 은행나무
"⠀예쁜 스팟들이 정말 정말 많았던 🧡⠀가을하면 역시 단풍이쥬!올해는 가을에서 갑자기 겨울로 넘어가더 소중한 단풍 사진들 🍂⠀곳곳의 풍경들도 너무 예뻤고, 규모가 커서붐비지 않아 더 좋았던 진주 수목원입니다.⠀⠀🏷️ [진주] 경상남도 수목원🚘 경남 진주시 이반성면 수목원로 386▫️ 09:00 - 17:00▫️ 어른 1,500원 / 어린이 500원▫️ 가족 단위 관람객 50% 할인✨ 11/1 다녀온 모습으로 지금 모습 꼭 확인하고 다녀오세요 :)⠀⠀⠀",[],경상남도수목원
"⛰⛰⛰2023.11.22 천황.재약.가지산🥾✅ 천황산! 영알중에 부드러우면서 탁트인 뷰가 으뜸인 곳이다. 능선형태 특성상 똥바람이 불때도 많지만 고요한 날 멍하니 앉아있으면 마음이 괜시리 적적해지는 분위기를 담고있는 산이라 생각한다😌이 곳을 좋아하는 이유는 천황산 정상에서 천황재로 내려가는 구간!때문이다. 정말 웅장한 산그리메를 마주할수 있고, 근사한 산수화가 그려진 병풍을 바라보며 내려가는 길이다. 영알에서 가장 좋아하는 구간중에 한곳🏞️✅ 재약산! 정상 근처 아기자기한 바위 구성이 재밌는 귀염둥이 구간이다. 정상석도 자세히 둘러봐야한다😅 빼꼼 나와있기에 요리조리 둘러보게 되는🤣 이곳에서 바라보는 간월,신불산의 모습은 다시한번 마음을 울컥하게 할만큼 너무나 아름답다🌈데크공사가 대부분 마무리 되어 작년보다는 더 수월하고 즐겁게 오른듯하다😊 해질녘 넓은 들판 느낌의 길을 걷다보면, 저녁준비가 한창인 시골길의 느낌을 항상 연상하게 구간이라고 생각✨✅ 가지산! 영남알프스에서 가장 높은 산이다! 그리고 각자의 매력이 다른 영알중 가장 산다운 느낌과 포스를 지닌 산이라고 생각한다. 날카로운 바위들과 곡선 커브능선의 조화는 언제나봐도 마음이 두근두근😜그러기에 영남알프스 중에 어디서 일출을 보는게 가장 좋아?라는 질문을 받으면 이 곳이 1위라고 생각한다. 산에 곡선이 많다는것은 그만큼 일출의 순간의 명암과 대비가 확실하기에 계속 변화하는 그림자를 분단위로 눈에 담을수 있는 이 시간이 나에게는 너무나 소중한 시간이다⛅️😉✅ 어느때보다 많은 영남알프스의 산들을 한꺼번에 즐기고 와서 너무나 즐거운 산행이었고 나에게는 소중한 기억들뿐인 행복한 여정이었다🌙다음에 또만나 내사랑 영남알프스🤟.....#영남알프스 #천황산 #재약산 #가지산 #가을산행 #등산일기","['영남알프스', '천황산', '재약산', '가지산', '가을산행', '등산일기']",가지산 정상
"남해여행 필수코스로 떠오르고있다는 하버스퀘어🌴💚이미 남해판 동남아 핫플로 유명하다구,,❤때깔로무역, 더코브남해, 록카우더젤라또에서이국적인 분위기+현지st 음식까지 먹어주면바로 해외여행온듯한 바이브아니겠어,,?!게다가 찍기만 하면 인생샷 건진다구 함 ㅋㅌ@@가까운 남해판 동남아 여행 ㄱㄱ-#하버스퀘어📍 경남 남해군 서면 남서대로1687번길 55 일대-#남해여행 #경남여행 #국내여행 #국내가볼만한곳 #남해핫플 #이국적인분위기","['하버스퀘어📍', '남해여행', '경남여행', '국내여행', '국내가볼만한곳', '남해핫플', '이국적인분위기']",
남해판 일본이라는 노천탕 료칸숙소🌅들어가는 순간 일본여행 온 줄🙊실시간으로 영접 가능한 오션뷰에따끈시원한 야외 노천탕 조합으로 끝장냄💗거기다 불멍+일식 최고급 코스요리까지힐링 풀코스로 접수 가능하다구🥰요즘 같이 쌀쌀해지는 날씨에 이건 못참지;-🌅 호텔치유📍 남해군 서면 남서대로 1965-54⏰ 오후 4시 체크인📞 0507-1329-9956-#남해여행 #남해숙소 #경남여행 #경상도여행 #부산근교숙소 #부산근교나들이,"['남해여행', '남해숙소', '경남여행', '경상도여행', '부산근교숙소', '부산근교나들이']",
#꽃바다 💜보라색 꽃이.펼쳐지는 아름다운 감악산 🥰😍10월 4일부터 15일까지 제3회 감악산 꽃 &별 여행 축제가 시작되는데 꽃은 반 정도 개화 했는데이번 연휴때도 보러가는 행렬이 엄청나다고 하네요 🥰새벽에 일출도 아름다워서 일출때도 어찌나 사람이 많던지 ㅎㅎㅎ진짜 명실상부 대표 꽃축제로 지리 잡은것 같아요 ! 보라를 좋아하는 저는 매년 빠지지 않고 갔었는데 말이죠 !!! 또 가고 싶네요추천 🫶🏻🥹지금도 예쁘다고 하니 가실분들은 계획 집아보세요 💜.💜#거창 #감악산풍력발전소 경남 거창군 남상면 연수사길 115-103 무료 주차 ㅇ 화장실 ㅇ 10월 4일 - 15일 축제 축제기간엔 먹거리도 운영 길 막힘 주의.!! .... ✔️추천코스 : 거창 감악산 - 합천 신소양 체육공원 - 의령 댑싸리 🎈대구 방면이라면 #고령 #대가야어북실 추천!!...#거창여행 #거창가볼만한곳 #감악산 #아스타국화 #국화축제,"['꽃바다', '거창', '감악산풍력발전소', '고령', '대가야어북실', '거창여행', '거창가볼만한곳', '감악산', '아스타국화', '국화축제']",
