content,extracted_tags,place
"전객실 오션뷰 하벳,지중해 감성을 담은 곳![ 12월 말까지 이벤트 진행 ]_ 연박시 추가할인 및 베르데 식사 제공_ 객실 할인리조트 1층에 위치한 베르데!검증된 셰프단이 운영합니다.미식가들을 위한 식사 공간 :)영덕 명품 리조트 하벳에서최고의 힐링을 만끽하세요!영덕군 병곡면 흰돌로 46 / 054 732 0200#영덕펜션#경북여행#바닷가펜션#경북펜션#영덕숙소#동해숙소추천#동해감성숙소","['영덕펜션', '경북여행', '바닷가펜션', '경북펜션', '영덕숙소', '동해숙소추천', '동해감성숙소']",
"@havet_poolvilla_official경북 영덕군 병곡면 흰돌로 46문의 전화 > 054 732 0200:: 12월 말까지 이벤트 진행중 ::객실할인 + 연박 추가할인 + 연박 베르데식사제공명품리조트 지중해 감성을 담은 곳,하벳은 전객실 오션뷰로 되어 있습니다 :)1층 베르데에서 식사도 하고 가세요!#영덕펜션#경북여행#바닷가펜션#경북펜션#동해숙소#영덕숙소추천#동해감성숙소","['영덕펜션', '경북여행', '바닷가펜션', '경북펜션', '동해숙소', '영덕숙소추천', '동해감성숙소']",
"경상도 사람에게 귀하디 귀한 눈 구경시켜주는 카페 요이땅💕지난번 대구에 눈 오는 카페 소개해 드렸는데 이번엔 눈 오는 카페 경주편!!평일은 오후 6시부터, 주말은 오후 2시부터 30분 간격으로 5분간 눈을 뿌려주시니 눈과 함께 찍을 기회는 넉넉! 저는 마감시간 가까이 도착했고 눈 나오는 시간에 급한 일이 생겨서 남은 기회를 맘껏 누리지 못했는데요🥲일단 결론적으로 말씀드리면 눈이 오든 안오든 정원을 예쁘게 꾸며놓으셔서 언제, 어느 때 가도 좋을 것 같았어요! 저는 눈 오는 장면을 찰나에 잠깐 촬영했지만 눈이 없어도 크리스마스 트리를 멋지게 장식해놓으셔서 그것 나름대로 잘 즐기고 왔답니다🥰역시 핫한 카페라 그런지 사람이 몰리면 야외 촬영 시 조금 힘들 수 있으니 주의사항 및 꿀팁은 이전 릴스로 확인 후 방문 추천드려용🫶 (제가 방문했을 때는 마지막 눈이 끝나고 마감 전까지는 널널하게 찍을 수 있었어요! 날마다 다를 수 있으니.. 답은 없어요..운에 맡기기😉)뒤로 넘기면 눈오는 영상 짧게나마 담아봤으니 끝까지 넘겨서 봐주세요✨이전 릴스도 봐주는 사람, 천사👼🪽📍소디스커피 본사- 경북 경주시 현곡면 형산로 161- 매일 11:00~22:00- 야외 10kg 미만 소형견 동반 가능- 눈 내리는 시간 : 평일 18:00~21:00, 주말 14:00~21:00/ 30분 간격, 5분간- 주차 가능(위험하니 갓길주차 주의)#카페_🍊",['카페_🍊'],경주
"지중해 감성 영덕의 명품 리조트 하벳,현재 12월말까지 이벤트 진행중입니다.[ 전객실 오션뷰 ]객실 할인 및 연박시 추가할인과베르데 식사 제공이 되고 있습니다!리조트 1층에 있는 [베르데].검증된 셰프가 운영하는 미식가를 위한 공간입니다.지역 각지에서 공수한 고급식재료로 만든요리를 드셔보시고 파인다이닝의 정수, 느껴보세요 :)경북 영덕군 병곡면 흰돌로 46전화번호 / 054 732 0200#영덕펜션#경북여행#바닷가펜션#동해가볼만한곳#영덕숙소#영덕숙소추천#경북감성숙소","['영덕펜션', '경북여행', '바닷가펜션', '동해가볼만한곳', '영덕숙소', '영덕숙소추천', '경북감성숙소']",
🏡무료숙박➕체험이벤트🎉카페+흙놀이터+도자기체험+숙소항아리바베큐까지 완벽했던 토락토닥✨주말가능 숙박 1팀! 도자기&흙놀이터2팀 총3팀 초대이벤트 진행합니다🙂다온이네 소개 서비스로 흙놀이터 이용시30%할인 가능하니 많은 관심 부탁드려요🙏📣 참여방법1⃣ @parkjonghye83 + @torak_todak 💢팔로우 필수!2⃣ 이 게시물에 ’참여완료‘ 댓글 남기기 💓 ↗ 스토리공유+ @parkjonghye83 계정 태그시 선정확률 +1  ㄴ 공유시 대댓글로 ’스토리 공유완료‘ 남겨주세요↗ 대댓글로 친구 3명이상 태그시 +1🎁 이벤트 제공 내역 주말가능 숙박권+흙놀이터 패키지 1팀도자기2인 + 흙놀이터 2팀이용기간: 1월 31일까지📍안동 토락토닥 @torak_todak(경북 안동시 남후면 풍산단호로 491)☕️자연 속 카페형 경관치유농장🚙하외마을에서 15분 거리⏰카페 - 11:00-19:00⏰숙박 - 체크인 15:00 / 체크아웃 11:00💡이벤트 기간ㄴ 기간 : 12월 1일(금) ~ 12월 6일(수)ㄴ 당첨자 발표 : 12월 7일(목) 스토리 발표🛍️ 다온이네 소개 할인흙놀이터 이용시 30% 할인(1월31일까지)#숙박권이벤트 #안동숙소 #토락토닥 #경북여행#대구근교가볼만한곳 #안동 #아이와여행,"['숙박권이벤트', '안동숙소', '토락토닥', '경북여행', '대구근교가볼만한곳', '안동', '아이와여행']",
"#금오산 최고의 포토존을 찾아라✨#경북 #구미 에 위치한 금오산 도립공원!도립공원 이라는 이름에 맞게 등산로 정비도 잘되어 있고포토존 천국이라 뚜가 강츄하는 곳 중에 하나❤️올봄에 겹벚꽃 보러 왔다가조금 흐린 날씨에 다음에 다시 와야겠다 다짐하고이번에는 일출로 다녀왔뜌✨아쉽게 이번 산행도 흐렸지만이번 금오도 너무 이뻐서 대대만족한 산행이어따😇📸 포토존1 - 3 약사암4, 5 정상석6, 7 오형돌탑8 도선굴9 대혜폭포10 케이블카ꢭ 뚜벅이 대중이 정보 ꢭ 서울역 <-> 구미역 KTX 2시간 56분 소요구미역에서 제1주차장까지 택시 8분 소요ꢭ 코스 정보 ꢭ 🅿️ 주차장 : 금오산제1주차장 - 경북 구미시 남통동 ** 2주차장과 1주차장은 도보 5분 거리! ** 주차비 승용차 기준 1,500원📍코스 : 주차장 > 대혜폭포 > 철탑 > 정상 > 약사암 > 오형돌탑 > 케이블카 하산📏 총 거리 : 8.2km⏱ 총 등산 시간 : 4시간(등산 시간만)👫🏻 화장실 : 주차장, 케이블카 탑승장ꢭ TIP ꢭ 🖇 봄에는 1주차장에서 2주차장 가는 길에 겹벚꽃이 피는데 증말 이뻐요❤️ 봄에 가셔도 넘 이쁩니당!✔️ 케이블카 정보(케이블카 구간 걸어가면 30분! 케이블카는 10분 소요!) ** 대인 기준 왕복 11,000원 편도 6,000원 ** 9시 - 17시 30분, 정각 기준 15분마다 운행🍲 2주차장 근처 식당, 카페 엄청 많아요!#등산 #등산룩 #아웃도어 #일출 #산스타그램 #등산복패션 #블랙야크100대명산 #가을등산 #구미가볼만한곳 #경북여행 #hiking #mountain #outdoor #travel","['금오산', '경북', '구미', '등산', '등산룩', '아웃도어', '일출', '산스타그램', '등산복패션', '블랙야크100대명산', '가을등산', '구미가볼만한곳', '경북여행', 'hiking', 'mountain', 'outdoor', 'travel']",금오산
"#여행_🍊여기가 어디냐구요?그 유명한 경주 천년숲정원이요😅메인 포토 스팟인 외나무다리 사진은?!오늘 급 겨울같은 날씨에 넘 춥고 차는 막히고  줄은 서기 싫고.. 그래서 다른 예쁜 스팟에서 찍고 산책하다 왔어요!줄이 적은 외나무 다리도 찍긴 했지만 이것도 맘에 들어서 이걸로 올려요💕저도 사람인지라.. 가끔은 메인 스팟이 아니라도 괜찮죠?! 그래도 전 이 사진이 참 맘에 든답니당!!저 처럼 잠깐 들렀다 갈 생각은 놉.. 차가 당연히 막힌다고 생각하고 천천히 둘러보세요!!경주 가을 막차는 천년숲정원으로😌📍천년숲정원- 경북 경주시 통일로 366-4- 하절기(3~10월) 10:00~17:00, 동절기(11~2월) 10:00~16:00- 주차 가능",['여행_🍊여기가'],경주
#여행_🍊슬슬 들려오는 핑크뮬리 소식에 꺼내보는 사진들💕그렇게 많은 곳을 다녔는데 핑크뮬리는 많이 못 본 저예요🥲올해는 저도 좀 볼 수 있을까요??대구 사는 제가 갔던 곳 중에서 근교에 예뻤던 곳들 알려드릴게요!두군데 다 핑크뮬리 말고 다른 꽃들도 많고 규모가 꽤 크답니당🫶📍신소양체육공원- 경남 합천군 합천읍 영창리 898- 주차 가능📍가산수피아- 경북 칠곡군 가산면 학하들안2길 105- 매일 10:00~18:00(매표 마감 17:00)- 주차 가능* 예전 사진으로 참고만 부탁드려요😌,['여행_🍊슬슬'],
"5성급 리조트 보다 좋았던 대구근교 프리미엄 풀빌라🩵오직 한팀만 프라이빗하게 이용할 수 있는 대구/부산근교의 풀빌라 소개해요. 복층구조의 외관부터 내부 자쿠지와 실내풀 그리고 야외풀과 불멍/바베큐 까지 가능한 이곳🫶🏻1박 2일은 너무 짧게 느껴져서 여름휴가때 또 방문하고 싶어지는 곳이였어요. 특히 ‘몰튼어메니티’ 와 다이슨 드라이디&에어랩을 갖추고 있어 고급리조트에 와 있는 듯한 느낌이였어요. 또 스탠바이Go가 구비되어 있는데, 손쉽게 이동가능해서 식사 할때나 옥상에서 불멍할때 가지도다니면서 보니까 정말 좋더라구요.보통 숙소는 밤이되면 사진찍기엔 어두운데, 이곳은 야외 조명과 빔프로젝트가 있어, 야간도 세상 이뻐요✨너무 좋았어서 주저리주저리 후기가 길어지는 내맘…💕📍#호시가풀빌라경북 영천시 대창면 임하길 61-11 호시가풀빌라✔️ 부산/대구/울산 어디에서나 1시간내외✔️ 기준 2인 / 최대 8인@m.m_jyori 님의 숙박권 이벤트에 당첨되어 다녀왔습니다. 💛",['호시가풀빌라경북'],
"#염씨표류기 x #영덕 #제작비지원노을과 바다가 아름다운 영덕💙역대급 노을도 보고 아름다운 바다도보고 온 영덕여행2월에는 대게축제도 열린다고 하는데축제와 함께 다녀올만한 곳들을소개해드릴게요!!🙌🙌1️⃣-3️⃣<해파랑공원>📍경북 영덕군 영덕대게로 1324️⃣5️⃣<상대산>📍경북 영덕군 영해면 대진리6️⃣7️⃣<블루로드다리, 죽도산전망대>📍경북 영덕군 축산면 축산항2길 9-328️⃣-🔟<블루로드B코스>📍경북 영덕군 영덕읍 석리","['염씨표류기', '영덕', '제작비지원노을과']",영덕
