content,extracted_tags,place
"#데이트립 앱에서 감각적인 국내여행 스팟을 만나보세요📱아침 저녁으로 시원한 바람이 불어오는 가을. 어디든 떠나고 싶지만 멀리 가기에 부담스럽다면, 수도권 근교인 충청도 나들이 어떠세요. 한적하고 여유로운 충청도의 아름다운 자연을 엿볼 수 있는 여행지 11곳을 추천합니다. @inoweymi 데이트립 앱에 여행 기록을 남기면공식 계정에 소개될 수 있어요 📸",['데이트립'],Chungcheongnam-do
[🎄실시간 펼쳐진다는 2023 세종 트리카페 12곳 총정리🎄]연말감성가득한 분위기부터 촤르르 펼쳐진 트리포토존까지영롱한 감성에 이미 홀린거같다구TT프사 갱신각@@-#세종여행 #세종크리스마스 #세종카페 #세종트리 #세종트리맛집 #세종나들이,"['세종여행', '세종크리스마스', '세종카페', '세종트리', '세종트리맛집', '세종나들이']",
"추위를 사르르 녹일 수 있는 온천&노천탕 데뚜장소 총정리♨️온몸이 꽁꽁 얼어붙는 지금! 연인과 따뜻하게 힐링할 수 있는다양한 온천, 노천탕들을 한 곳에 모아봤따!!💖@@우리 이번 겨울 여행 여기로 떠나자!!-#온양관광호텔#알마게스트#구공스테이 #사계#호담#엠원업스파&스포츠#파라다이스스파도고#스플라스리솜#아산스파비스#벤자롱스파스테이잠적-#대전맛집#대전카페#대전가볼만한곳#대전데이트#대전술집#대전여행#대전숙소#세종맛집#세종카페#세종가볼만한곳#세종데이트#세종술집#세종여행#세종숙소","['온양관광호텔', '알마게스트', '구공스테이', '사계', '호담', '엠원업스파&스포츠', '파라다이스스파도고', '스플라스리솜', '아산스파비스', '벤자롱스파스테이잠적-', '대전맛집', '대전카페', '대전가볼만한곳', '대전데이트', '대전술집', '대전여행', '대전숙소', '세종맛집', '세종카페', '세종가볼만한곳', '세종데이트', '세종술집', '세종여행', '세종숙소']",
"🎄연말감성 통으로 흡수각 나온다는 세종 트리카페🎄들어서는 순간 분위기에 적셔지기 딱 좋은곳이야;;🙊영롱한 조명은 물론 야외 테라스에서 즐기는 불멍존+트리존까지,,ㄷㄷ이미 브런치 맛집으로 입소문난곳이라분위기+맛까지 완벽 조합인정이라구TT@@나 여기 데려가주라😍-🎄 룩백📍 세종 연기면 공단로 184-26⏰ 10:00 - 21:00 [L.O 20:30]✖ 연중무휴-#세종여행 #세종카페 #세종핫플 #세종대관 #세종브런치 #세종크리스마스 #세종트리카페","['세종여행', '세종카페', '세종핫플', '세종대관', '세종브런치', '세종크리스마스', '세종트리카페']",
[쌀쌀한날 생각난다는 세종 칼국수 대공개!]따끈한 국물에 쫄깃탱글 면발 더 해주면 끝🔥입안 가득 들어가는순간 사르르 녹는다TT@@접수하러 고-#세종핫플 #세종칼국수 #세종국수 #세종여행 #세종칼국수맛집 #세종맛집,"['세종핫플', '세종칼국수', '세종국수', '세종여행', '세종칼국수맛집', '세종맛집']",
"🌈─────────────────아이와 어디가지⁉️뭐하지❕애기야가자APP📱에는전국 1만 9천여 곳의 아이와 갈만한 곳이 소개되어 있어요!지금 바로 확인하세요😎─────────────────초록초록한 식물과 더불어이 곳은 현재온실속 아쿠아리움이라는 주제로<바다를 품은 정원> 전시를 하고 있어요.사계절 전시온실내 특별전시로하늘을 헤엄치는 고래를 비롯예쁜 오브제가 가득한 공간 !#국립세종수목원 [이용안내]▪️세종 수목원로 136▪️044-251-0001 @sjnagreen ​▶운영시간 -하절기 (3월~10월) 09:00 - 18:00(입장마감 17시)-동절기 (11월~2월) 09시 17:00 (입장마감 16시)*매주 월요일 정기휴무*9/10, 9/13 휴무▶가을 야간 개장 2022.9.2(금)-10.27(토)*매주 금,토만 21시까지 개방▶편의시설-푸드코트 방문자센터 1층 (매표소 맞은편)-카페/ 베이커리 사계절전시온실 1층-편의점 사계절전시온실 1층, 치유정원 / 어린이정원 인근▶유모차, 휠체어, 휴대용선풍기(여름)/휴대용손난로(겨울)   대여가능▶폴라로이드 카메라(평일) 대여가능[입장료]성인 5,000원 청소년 4,000원 어린이 3,000원*세종시주민 50%할인#애기야가자#애기야가자세종#아기랑갈만한곳 #아이와나들이","['국립세종수목원', '애기야가자', '애기야가자세종', '아기랑갈만한곳', '아이와나들이']",
🌿공주 엔학고레에 찾아온 싱그러운 봄!그림같은 풍경을 담아봤어요 👋지난번 소개해드린 알록달록 가을 풍경 만큼이나 아름답네요💚푸르른 엔학고레의 오늘자 모습!👉👉 옆으로 넘겨 초록초록 풍경 구경해보세요😊공주의 뷰맛집!정말 최고에요!#공주스타그램📷 2022. 4. 30.#엔학고레 #송곡지#공주불장골저수지🎈엔학고레 @cafe_enhakkore(충남 공주시 반포면 송곡리 454-4),"['공주스타그램📷', '엔학고레', '송곡지', '공주불장골저수지🎈엔학고레']",엔학고레
"세종 고잘알들사이 입소문난 퀄리티쩔 한우정육식당!🔥최상급 한우 1++만 취급하는 곳이라 떼깔부터 말해모함?!윤기 좌르르한 퀄의 한우를 맛볼수가 있다니,,🙊숯불에 불향 싹 입혀 구워주면 입안으로 다이빙🥢 들어가는순간 육즙만 남기고 사르르 녹아버리는거 실화냐구TT직접 도축해서 영롱한 마블링은 물론 특수부위까지 싹쓰리 접수각🧡거기다 환풍기가 가로막지않아 마주보고 대화하기도 딱 좋아서연말 모임장소로도 완벽하다구😍포장 패키지마저 고급진 분위기라 선물용으로도 완벽함!👍👍@@기름칠하러 고-🥩 #도담한우📍 세종 보듬3로 8-15 해피라움 5동 2층⏰ 11:00 - 22:00⏰ 14:30 - 17:00 [B.T]✖ 일요일 휴무✔ dodam_hanwoo-#세종맛집 #세종한우 #세종고기집 #도담동맛집 #세종핫플 #세종모임 #세종여행","['도담한우📍', '세종맛집', '세종한우', '세종고기집', '도담동맛집', '세종핫플', '세종모임', '세종여행']",
"겨울여행 가기 좋은곳 추천세종 가볼만한곳 국립세종수목원이에요📸넓고 웅장한 규모의 온실 체험하기🚘🚘🚘오픈시간 09:00~18:00월요일 휴무 1월1일 휴무입장료 5000원세종 연기면 수목원로 136세종 연기면 세종리 114-480(지번)주차, 예약, 남/녀 화장실 구분, 장애인 편의시설(넓은주차장 깨끗한 화장실 좋아요❤️👍)🙀실내가 더우니 외투는 사물함에 넣고 관람하시면 편합니다😅저는 오픈시간에 맞춰 가서 사람이 별로 없었어요-📸한국관광공사📸 @travelgram_korea ------#여행에미치다 #여미 #세종 #세종여행 #충남 #충남여행 #겨울여행 #겨울 #겨울코디 #오빠랑 #세종카페 #세종핫플 #세종가볼만한곳 #대한민국구석구석 #한국관광공사 #인생샷 #포토존 #데이트코스 #nexttrip #nexttripsoon #koreatravel #cafe #travelgram #그림의여행 #풍경스냅 #여행사진 #크리스마스 #산타","['여행에미치다', '여미', '세종', '세종여행', '충남', '충남여행', '겨울여행', '겨울', '겨울코디', '오빠랑', '세종카페', '세종핫플', '세종가볼만한곳', '대한민국구석구석', '한국관광공사', '인생샷', '포토존', '데이트코스', 'nexttrip', 'nexttripsoon', 'koreatravel', 'cafe', 'travelgram', '그림의여행', '풍경스냅', '여행사진', '크리스마스', '산타']",세종특별자치시
"2023 세종 빛 축제🌙빛으로 여는 세종의 하늘이라는 타이틀로이번에 처음으로 개최하는 세종 겨울축제❄️원래도 데이트 장소, 산책하기 좋은 곳으로 소문난세종 공원 쪽에서 진행을 하기 때문에 더 기대가되는 축제야!!12월 2일 부터 12월 31일까지 한 달간 진행하는행사이기 때문에 평일에도 주말에도 남녀노소,  어린아이까지 모두가 즐길 수 있는 축제!!2일 개막식을 시작으로 31일 제야의 행사까지 진행한다고하니 처음과 끝을 함께 하면 너무 좋을 것 같아💕⭐️2023 세종 빛 축제📅  23.12.02 - 23.12.31📍 이응다리, 금강수변 일대✅️개막식📅 23.12.02(토) 18:00• LED미디어 퍼포먼스 (18:00~18:40)• 점등퍼포먼스 (18:50~19:00)• 불새쇼&레이저쇼 (19:00~19:10)• 로드투어 (19:15~19:45)다양한 프로그램이 준비되어 있고 주말 푸드트럭까지운영한다고 하니 12월 데이트는 세종으로!!!!🏃#세종축제 #세종빛축제 #세종가볼만한곳 #세종공원 #세종이응다리 #세종수변공원 #대전축제 #대전근교 #대전근교축제 #겨울축제 #빛축제 #12월축제 #세종데이트 #세종데이트코스 #세종여행 #대전근교여행 #겨울데이트 #데이트코스 #데이트장소 #2023세종빛축제","['세종축제', '세종빛축제', '세종가볼만한곳', '세종공원', '세종이응다리', '세종수변공원', '대전축제', '대전근교', '대전근교축제', '겨울축제', '빛축제', '12월축제', '세종데이트', '세종데이트코스', '세종여행', '대전근교여행', '겨울데이트', '데이트코스', '데이트장소', '2023세종빛축제']",
