place,extra_content,extracted_tags
화순,"['견이_광주근교', '견이_화순', '화순당일치기', '전남화순여행', '화순여행지', '화순나들이', '전남화순', '광주근교', '화순군']","['견이_광주근교', '견이_화순', '화순당일치기', '전남화순여행', '화순여행지', '화순나들이', '전남화순', '광주근교', '화순군']"
나주 산림자원연구소,['아이엠동준'],['아이엠동준']
,"['담양여행', '풍경릴스', '전남여행', '투피스세트', '연말룩', '코디모음', '룩북', '담양카페', '크롭셔츠', '메타세콰이어길']","['담양여행', '풍경릴스', '전남여행', '투피스세트', '연말룩', '코디모음', '룩북', '담양카페', '크롭셔츠', '메타세콰이어길']"
함평,"['댓글이벤트-평일숙박권1명(~11/22마감)-쑤블로그팔로우한정', '함평', '스톤델리아호텔앤리조트돌머리해수욕장', '쑤블함평', '쑤블전라도', '쑤블숙소']","['댓글이벤트-평일숙박권1명(~11/22마감)-쑤블로그팔로우한정', '함평', '스톤델리아호텔앤리조트돌머리해수욕장', '쑤블함평', '쑤블전라도', '쑤블숙소']"
,"['여수여행', '여수챌린지파크루지', '무선산둘레길', '돌산공원', '라테라스리조트', '윈터빌리지어드벤처']","['여수여행', '여수챌린지파크루지', '무선산둘레길', '돌산공원', '라테라스리조트', '윈터빌리지어드벤처']"
담양 메타세콰이아 가로수길,"['메타숲', '담양', '메타쉐콰이어랜드', '담양어린이프로방스', '죽녹원', '관방제림', '메타프로방스', '담양여행', '담양가볼만한곳', '담양메타세콰이어', '전남여행', '전남가볼만한곳', '국내여행']","['메타숲', '담양', '메타쉐콰이어랜드', '담양어린이프로방스', '죽녹원', '관방제림', '메타프로방스', '담양여행', '담양가볼만한곳', '담양메타세콰이어', '전남여행', '전남가볼만한곳', '국내여행']"
광주광역시,[],[]
순천,"['찍길동_순천', '전남여행', '전라도여행']","['찍길동_순천', '전남여행', '전라도여행']"
여수무슬목해변,"['전라남도', '여수', '여수시', '무슬목해수욕장', '여수여행', '여수핫플', '여수가볼만한곳', '전남여행', '캐논코리아', '캐논이미지스토밍', '소복히쌓인우리의추억', '사진에미치다', '오빠랑여행갈래', '풍경스타그램', '여행스타그램', '대한민국구석구석', '풍경사진', 'canonkorea', 'korealandscape', 'eosR5', 'rf70200mm']","['전라남도', '여수', '여수시', '무슬목해수욕장', '여수여행', '여수핫플', '여수가볼만한곳', '전남여행', '캐논코리아', '캐논이미지스토밍', '소복히쌓인우리의추억', '사진에미치다', '오빠랑여행갈래', '풍경스타그램', '여행스타그램', '대한민국구석구석', '풍경사진', 'canonkorea', 'korealandscape', 'eosR5', 'rf70200mm']"
고흥,"['고흥여행', '소나의시간', '소나_고흥', '고흥군', '제작지원', '고흥여행', '고흥가볼만한곳', '쓰리고이벤트5️⃣', '고흥유자축제', '고흥', '국내축제', '국내여행지', '전남축제', '전남여행', '고흥향교', '고흥은행나무', '고흥무지개해안도로', '고흥만수변노을공원', '팔영산편백치유의숲', '고흥팔영산', '팔영산', '편백나무숲', '은행나무']","['고흥여행', '소나의시간', '소나_고흥', '고흥군', '제작지원', '고흥여행', '고흥가볼만한곳', '쓰리고이벤트5️⃣', '고흥유자축제', '고흥', '국내축제', '국내여행지', '전남축제', '전남여행', '고흥향교', '고흥은행나무', '고흥무지개해안도로', '고흥만수변노을공원', '팔영산편백치유의숲', '고흥팔영산', '팔영산', '편백나무숲', '은행나무']"
팔영산,"['팔영산', '다도해해상국립공원', '등산일기']","['팔영산', '다도해해상국립공원', '등산일기']"
,"['감성여행', '목포', '석산', '목포여행', '목포가볼만한곳', '목포카페', '크리스마스트리', '크리스마스장식', '바다뷰카페']","['감성여행', '목포', '석산', '목포여행', '목포가볼만한곳', '목포카페', '크리스마스트리', '크리스마스장식', '바다뷰카페']"
구례,['제작지원1️⃣~3️⃣'],['제작지원1️⃣~3️⃣']
,"['창평국밥거리', '남도관광', '담양여행', '담양', '국밥', '전라남도맛집', '전라도맛집', '전라도포토존', '전라도여행코스', '전라도여행지', '국내힐링여행', '전남관광', '전남여행', '全羅南道', '韓国旅行', '韓国', '長城', '韓国旅', 'jeollanamdo', 'korea', 'koreatravel', 'koreatrip']","['창평국밥거리', '남도관광', '담양여행', '담양', '국밥', '전라남도맛집', '전라도맛집', '전라도포토존', '전라도여행코스', '전라도여행지', '국내힐링여행', '전남관광', '전남여행', '全羅南道', '韓国旅行', '韓国', '長城', '韓国旅', 'jeollanamdo', 'korea', 'koreatravel', 'koreatrip']"
,"['찾아가는곡성전통시장홍보기차', '곡성', '곡성기차마을', '섬진강기차마을', '곡성기차마을전통시장', '찾아가는홍보기차', '홍보차량', '전통시장', '이벤트', '이벤트행사', '현장이벤트', '곡성가볼만한곳', '곡성여행', '전남여행', '곡성기차마을전통시장상인회', '곡성기차마을시장문화관광형시장육성사업']","['찾아가는곡성전통시장홍보기차', '곡성', '곡성기차마을', '섬진강기차마을', '곡성기차마을전통시장', '찾아가는홍보기차', '홍보차량', '전통시장', '이벤트', '이벤트행사', '현장이벤트', '곡성가볼만한곳', '곡성여행', '전남여행', '곡성기차마을전통시장상인회', '곡성기차마을시장문화관광형시장육성사업']"
