place,extra,extracted_tags
화순,"['견이_광주근교', '견이_화순', '화순당일치기', '전남화순여행', '화순여행지', '화순나들이', '전남화순', '광주근교', '화순군']","['견이_광주근교', '견이_화순', '화순당일치기', '전남화순여행', '화순여행지', '화순나들이', '전남화순', '광주근교', '화순군']"
전라남도 담양,[],[]
하화도,[],[]
땅끝탑,"['서해랑길', '서해랑길1코스', '전라남도여행', '해남군여행', 'Seohaerang.trail', 'koreatrail', 'Haenam-gun', 'durunubi', '코리아둘레길', '두루누비', '서해랑길해남', '여행트레킹', '트레킹', 'Traveller', 'Trekking', 'Walking', 'hiking', 'Marsopla']","['서해랑길', '서해랑길1코스', '전라남도여행', '해남군여행', 'Seohaerang.trail', 'koreatrail', 'Haenam-gun', 'durunubi', '코리아둘레길', '두루누비', '서해랑길해남', '여행트레킹', '트레킹', 'Traveller', 'Trekking', 'Walking', 'hiking', 'Marsopla']"
,"['물빛나무카페', '물빛나무', '구례카페', '구례읍내여행', '화개카페', '구례가볼만한곳', '구례여행', '하동구례여행', '구례', '구례읍내투어', '구례오일장', '국내여행', '전라남도여행', '전남카페투어', '하동여행', '자수카페', '프랑스자수', '구례맛집', '구례찻집', '지리산단풍', '구례상설시장', '피크닉세트', '구례스콘맛집', '보늬밤스콘', '레몬딜스콘', '살구잼스콘']","['물빛나무카페', '물빛나무', '구례카페', '구례읍내여행', '화개카페', '구례가볼만한곳', '구례여행', '하동구례여행', '구례', '구례읍내투어', '구례오일장', '국내여행', '전라남도여행', '전남카페투어', '하동여행', '자수카페', '프랑스자수', '구례맛집', '구례찻집', '지리산단풍', '구례상설시장', '피크닉세트', '구례스콘맛집', '보늬밤스콘', '레몬딜스콘', '살구잼스콘']"
지리산,[],[]
선학동마을,"['선학동', '선학동유채마을', '선학동마을', '유채마을', '장흥갈만한곳', '장흥데이트코스', '장흥데이트코스추천', '전라남도여행', '전라남도여행지', '전남여행지', '전남여행', '전남여행코스', '전남데이트코스', '전남데이트코스추천', '유채꽃여행지', '유채꽃여행', '유채꽃명소', '유채꽃데이트', '유채꽃밭', '유채꽃길', '블림프_장흥', '블림프_전라']","['선학동', '선학동유채마을', '선학동마을', '유채마을', '장흥갈만한곳', '장흥데이트코스', '장흥데이트코스추천', '전라남도여행', '전라남도여행지', '전남여행지', '전남여행', '전남여행코스', '전남데이트코스', '전남데이트코스추천', '유채꽃여행지', '유채꽃여행', '유채꽃명소', '유채꽃데이트', '유채꽃밭', '유채꽃길', '블림프_장흥', '블림프_전라']"
순천 선암사,[],[]
,"['전라남도여행', '나주여행', '풍경', '메타세콰이어길', '단풍', '동백', '인물사진']","['전라남도여행', '나주여행', '풍경', '메타세콰이어길', '단풍', '동백', '인물사진']"
,"['물빛나무카페', '물빛나무', '구례카페', '구례읍내여행', '구례신상카페', '구례가볼만한곳', '구례여행', '하동구례여행', '구례', '구례읍내투어', '구례오일장', '국내여행', '전라남도여행', '전남카페투어', '하동여행', '자수카페', '프랑스자수', '구례맛집', '구례찻집', '지리산단풍', '구례상설시장', '피크닉세트', '구례스콘맛집', '보늬밤스콘', '레몬딜스콘', '살구잼스콘']","['물빛나무카페', '물빛나무', '구례카페', '구례읍내여행', '구례신상카페', '구례가볼만한곳', '구례여행', '하동구례여행', '구례', '구례읍내투어', '구례오일장', '국내여행', '전라남도여행', '전남카페투어', '하동여행', '자수카페', '프랑스자수', '구례맛집', '구례찻집', '지리산단풍', '구례상설시장', '피크닉세트', '구례스콘맛집', '보늬밤스콘', '레몬딜스콘', '살구잼스콘']"
